id;station
424;Gare de Châteaudun
425;Gare de Saint-Nazaire
426;Gare de Paray-le-Monial
427;Gare de Franois
428;Gare de Brignais
429;Montargis-OT
430;Gare de Sélestat
431;Morez Lycée
432;Gare de Voves
433;Gare de Dole-Ville
434;Gare de Sarrebourg
435;Gare de Perpignan
436;Gare de Albi-Ville
437;Gare de Bayonne
438;Gare de Bergerac
439;Gare de Reignac
440;Gare de Paris-Saint-Lazare
441;Rambervillers
442;Gare de Bidos
443;Gare de Saverne
444;Gare de Dax
445;Bitche
446;Gare de Munster
447;Gare de Romans-Bourg-de-Péage
448;Gare de Arches
449;Gare de Paris-Austerlitz
450;Saverne-(Ht-Barr)
451;Gare de Modane
452;Gare de Montpellier-Saint-Roch
453;Gare de Limoux
454;Gare de Vauvert
455;Gare de Boulogne Ville
456;Saint-Gervais-Mairie
457;Gare de Ste-Pazanne
458;Gare de Crépy-en-Valois
459;Haguenau-Moulin-Neuf.
460;Rouen-Gare-Routière
461;Gare de Savenay
462;Gare de Arvant
463;Gare de Tende
464;Gare de Eguzon
465;Gare de Lutzelbourg
466;Berthelming-Mairie
467;Chauffailles-Gambetta
468;Gare de Lozanne
469;Gare de Lunel
470;Gare de Nouan-le-Fuzelier
471;Gare de Montbéliard-Ville
472;Grenoble-Gare-Routière
473;Romorantin-Lycée-de-F
474;Chinon-Lycée-Rabelais
475;Gare de Firminy
476;Fénétrange (Gendarm.)
477;Gare de Capdenac
478;Laveline-d-Bruy. Mairie
479;Gare de Gannat
480;Gare de Durtol-Nohanent
481;Gare de Landerneau
482;Bussang (Gare SNCF)
483;Châteauroux-Ly-B-Pascal
484;Gare de Aix-les-Bains-le-Revard
485;Gare de Chantonnay
486;Igney (Centre)
487;Gare de Lourdes
488;Gare de Castres
489;Gare de Nîmes
490;Loudrefing
491;Sarrebourg-LP-Messmer
492;TOURS LYCEE GRANDMONT
493;Gare de Aubrais-(les)
494;Bayel-Eglise
495;Gare de Saales
496;Gare de Moulins-sur-Allier
497;Saint-Pierre-de-Chandieu-R
498;Gare de Nevers-Le-Banlay
499;Gare de Metzeral
500;Gare de Cambo-les-Bains
501;Bourges-Gare-Routière
502;Gare de Bonneville
503;Gare de Saint-Dié-des-Vosges
504;Gare de Pontorson-Mt-Saint-Michel
505;Gare de Clisson
506;Gare de Albens
507;Gare de Bléré-la-Croix
508;Bourg-en-Bresse Gare R
509;Châteauroux-Lycée-Agric
510;Gare de Tessonnières
511;Saint-Gervais-Ch-LPA.
512;Roanne-Gare-Routière
513;Gare de Mâcon-Loché-TGV
514;BarentonÂ Cel
515;Gare de Castelnaudary
516;Gare de Le-Verdon
517;Gare de Fécamp
518;Gare de Nogent-le-Rotrou
519;Gare de Thesee
520;Gare de Saint-Chély-d'Apcher
521;Gare de Etaples Le Touquet
522;Gare de Pornic
523;Gare de Toury
524;Gare de Coutras
525;Gare de Béthune
526;Gare de Massiac-Blesle
527;Gare de Epernay
528;Gare de Sens
529;Gare de Diemeringen
530;Gare de Oyonnax
531;Gare de Cahors
532;Gare de La Roche-sur-Foron
533;Dossenheim-(Mairie)
534;Gare de Mâcon-Ville
535;Gare de Auch
536;Gare de Bordeaux-Saint-Jean
537;Gare de Saint-Gervais-L-B-Le-Fayet
538;Gare de Molsheim
539;Saint-Flour-les-Allées
540;Gare de Biel
541;Gare de Sospel
542;Gare de Besançon-Franche-Comté
543;Sarralbe Centre
544;Les Granges-Narboz
545;Mondoubleau-Rue-Leroy
546;Gare de Romorantin-Blanc-Argent
547;Châteaudun-LEP-Paulsen
548;Gare de Boussens
549;Gare de La Tour-du-Pin
550;Poule-Mairie
551;Gare de Freiburg-Breisgau
552;Gare de Laroche-Migennes
553;Gare de Valenciennes
554;Gare de Calais Ville
555;Gare de Agen
556;Gare de Tournai
557;Keskastel
558;Gare de Lens
559;Gare de Prissé-la-Charrière
560;Montélimar-G-Routière
561;Gare de Saint-Etienne-Châteaucreux
562;Gare de Mussidan
563;Gare de Rochefort
564;Gare de Annecy
565;Frohmuhl- (Lavoir)
566;Gare de Saint-Priest
567;Truyes-Saint-Blaise
568;Lichtenberg-(Eglise).
569;Laissac-Foirail
570;Gare de Audun-le-Roman
571;Gare de Bar-sur-Aube
572;Ternay-Barbières
573;Bouzonville
574;Gare de La Souterraine
575;Gare de Cormery
576;Gare de Lyon-Part-Dieu
577;Gare de Saint-Mariens-Saint-Yzan
578;Gare de Lamotte-Beuvron
579;Valence-Gare-Routière
580;Gare de Le Croisic
581;Gare de St Quentin
582;Gare de Morlaix
583;Urcay-Hotel-du-Lyon-d'O
584;Gare de Latour-de-Carol-Enveitg
585;Gare de Vendeuvre (Aube)
586;Gare de Serquigny
587;Sedan-Place-Calonne
588;Gare de Offenburg
589;Gare de Flers
590;Gare de Poligny
591;Gare de Saint-Georges-d'Aurac
592;Gare de Dol
593;Gare de Thann
594;Gare de Font-Romeu-Odeillo-Via
595;Bourg-Achard Champ de F
596;Gare de Bueil
597;Gare de Grenoble U.-Gières
598;Gare de Lille Flandres
599;Rambervillers (11 Nov)
600;Creutzwald G.R.
601;Bitche-Quartier-Driant
602;Gare de Saarbrücken /Sarrebruck
603;Allamps-Esat
604;Gare de Erstein
605;Reipertswiller-SP.
606;Gare de Bourg-Saint-Maurice
607;Ettendorf-Pl,-de-L'ecol
608;Sarralbe
609;Gare de Port-Bou
610;Gare de Issoudun
611;Chartres-Gare-Routière
612;Gare de Orange
613;Communay-Stade
614;Wambrechies
615;Gare de Château-du-Loir
616;Gare de Saumur
617;Gare de Corbigny
618;Gare de Châlons-en-Champagne
619;Gare de Dormans
620;Gare de Thann-Saint-Jacques
621;Gare de Dreux
622;Annonay-Gare-Route
623;Gare de L'Aigle
624;Gare de Bening
625;Gare de Metz-Ville
626;Gare de Maubeuge
627;Gare de Lyon-Gorge-de-Loup
628;Gare de Sucé-Sur-Erdre
629;Saint-Louis-57-Incliné
630;Gare de Charleville-Mézières
631;Gare de Longwy
632;Gare de Granville
633;Gare de Toulon
634;Ste-Marie-/-Ms-Pl-.CdG
635;Vire-Centre
636;Payns Abri Savières
637;Gare de Paris-Bercy
638;Gare de Royan
639;Gare de Die
640;Gare de Millau
641;Gare de Amiens
642;La Chaise-Dieu
643;Gare de Rolleville
644;Ettendorf-(Angle-Pont)
645;Gare de Ussel
646;Gare de Saint-Denis-près-Martel
647;Gare de Paris-Montparnasse 1-2
648;Gare de Le Havre
649;Gare de Janzé
650;Gare de Nevers
651;Gare de Le Puy-en-Velay
652;Gare de Libourne
653;Gare de Miramas
654;Gare de Villefranche-Vernet-l.B
655;Gare de Egletons
656;Gare de Vendôme
657;Gare de Virieu-le-Grand-Belley
658;Lugny
659;Gare de Limoges-Bénédictins
660;Perl Gare DB
661;Gare de Mouscron / Moeskroen
662;Kédange (Eglise)
663;Gare de Saillat-Chassenon
664;Hombourg (Chapelle)
665;Gare de Pauillac
666;Gare de Auxonne
667;Gare de St Pol sur Ternoise
668;Gare de Saint-Vit
669;Bricon(la Poste)
670;Ribeauville-Gare-Routiè
671;Ste-Marie-/-Mines-Maire
672;Gare de Vichy
673;Gare de Montreux-Vieux
674;Gare de Muret
675;Gare de Saint-Flour-Chaudes-Aigues
676;Gare de Carnoules
677;Gare de Troyes
678;Gare de Lison
679;Gare de Obernai
680;Gare de Hirson
681;Gare de Surdon
682;Gare de Saint-Pierre-des-Corps
683;Bruyères (Vosges)
684;Gare de L'Arbresle
685;Gare de Tergnier
686;Gare de Contrexéville
687;Mirecourt (Lycée Agric)
688;Gare de Saint-Florentin-Vergigny
689;Gare de Sarreguemines
690;Gare de Chartres
691;Gare de Wesserling
692;Gare de Port-de-Piles
693;Gare de Vitry-le-François
694;Romorantin-BA-G.R.
695;Gare de Bressuire
696;Sarrebourg-Hôpital
697;Sarre-Union
698;Gare de Brest
699;Gare de Montereau
700;Gare de Lyon-Perrache
701;Gare de Mauzé
702;Gare de Morteau
703;St Christophe / Nais C.
704;Gare de Eymoutiers-Vassiviere
